,Parsed review,Similar review,Similarity Value
0,Far from where I live,Gar from where I lived,0.5
1,"You have to be self motivated. NO ONE will hold your hand and tell you that you're doing a great job. If you need constant affirmations from management, this company isn't for you.","You need to stretch a lot and be very proactive in taking care of your physical health, so if you're not good at this nor motivated to do so, then job will leave you very sore and tired. You need to hustle to get work accomplished. If you're a slow worker, this is not the role for you.",0.6377
2,"The management process is abusive, and I'm currently a manager. I've seen too much ""behind the wall"" and hate how our individual performers can be treated. You are forced to ride people and stack rank employees...I've been forced to give good employees bad overall ratings because of politics and stack ranking.","Not really cons but more of reality with a path to turn a perceived negative into a helpful positive. We do work hard and smart, as needed for the benefit of our customers, partners, our communities, and us employees. The bar remains high to get hired. Therefore, continue to study hard, work smart, and demonstrate experience that is well-rounded across business, technology, and operations. And read Strunk & White to learn how to master your writing skills - that's the basis of all communication, and communication ensures a successful career and a successful company, most especially here at Amazon.",0.458
3,"- You're responsible for your own career progression and finding the places and teams that are doing the stuff you want to do. No one is going to take you by the hand and help you with that.
- Amazon is built, quite deliberately, to be Darwinian. The strong survive and the weak perish (metaphorically speaking) and the 'bar' is constantly increasing. The level of performance that would have been acceptable five years ago will get you canned today. It's a kind of crucible that'll help you develop a harder edge, if you can survive, that can serve you well in your career and in life, but it's often not a pleasant experience.

I wouldn't recommend it as a place to work for just anyone.","-You will be in charge of all purchasing activity, all service providers, and floor manager responsibilities for both day shift and night shift employees.
-They will give you no raise and then tell you that you are choosing to not like the compensation plan
-A large portion of your compensation is tied to stock, that you can only receive once a year. Even though they agreed to your plan upon hiring, they will say you are getting a raise on an annual basis even though they absolutely know that you can not invest or pay bills with restricted stock units. If you dont survive until stock pay out, then you do not receive any of the compensation related to your shares.
-High attrition above and below. I had 5 managers in just under 2 years and the building had near 100% attrition from the group that launched the site in just 18 months. 
-You will have atleast 2 bosses and will feel like you have 8. Every activity is up for scrutiny from every boss.
-You will likely not meet any of these bosses face to face at all during their time as one of your managers.
-You will have atleast 5 hours a week of meetings that have zero relevance for you.
-You dont participate in your own performance review at all
-Turn over at a management level is so high, leadership may have no idea of the extra work and initiatives you supported outside your role",0.6739
4,"No cons, so far - seriously. Like I said, I'm sure Amazon has some bad pockets in it here and there, but this is an amazing job, an amazing opportunity, and the biggest thing I have to complain about is that it's a little chilly in our building. I can live with that.

Does Amazon demand high quality, measurable results? Yes! Is it hard work? Yes! Is it rewarding? Yes! So I'm not calling that a 'con'. Work/life balance seems comparable to other places I've worked - not worse.","Despite Amazon being a great company, the Language Engineering role is not all it is cracked up to be. Forget ML and state of the art NLP: leadership at Amazon has determined that Lang Engineers must author deterministic FSTs while scientists do the hard NLP. Also the tooling for Lang Eng is terrible. You will be building 1980s grammars with unforgiving tooling that will cause you great frustration. They recently changed the role guidelines to say that you need advanced degree in computational linguistics which is ironic as the ideal person for this role needs extraordinary patience with applying command line tools and about the level of linguistic knowledge that comes from having a general interest in it. Another disadvantage is there are fewer than 5 Level 6 Lang Engs in Amazon and getting promoted to that level is near impossible. There are no Principal Lang Engs and the role guideline doesn’t have a category for it. Hence many people try to transfer to other roles but authoring FSTs is very limited and not very transferable for science or SDE, so you need a supportive manager and an unburdened team to find you relevant non core projects to work on.",0.4811
5,"- Can be overwhelming, very steep learning curve
- Can be difficult to keep up if you are not self motivated","- Can be a challenge when getting started due to information overload
- Not really a con, but you will struggle if you are not self-motivated",0.5217
6,"Organization and communication can be a challenge to maneuver around 
Hours can become a challenge when managing a hectic schedule 
Having to be available for any shift in order to move up in certain positions
Work expectations and policies can change and can be confusing",Can be long working hours and job satisfaction can vary team -to team,0.5008
7,"Maybe because the company recruits C listers who have neither merit (intelligence, strategic vision) nor pedigree (academic or professional accomplishments), most of those who become successful do so in treacherous, low cunning ways.

Imagine the Lannisters in Game of Thrones attacking the Starks in Game of Thrones; or Rawls and Burrell attacking McNulty and Daniels in The Wire; or Barrow and O'Brien attacking Mr Bates in Downton Abbey. This is every day leadership behavior at Amazon. The culture at Amazon is so infested with these middling talent weasels who have juked the stats and schemed their way to positions of power that new employees coming in actually start thinking that this behavior is normal and expected if you want to ""manage people.""

The work itself was stimulating and fulfilling, but the sneering condescension of the d bags that cheated and skated their way through high school and party colleges, then just converted their winky nod nod good 'ol boy shenanigans into a ""ask no questions, have no introspection"" company culture have made manifest some of the worst criticisms of capitalism. Any left leaning political aspirant would look at this business organism and immediately have content to lash out against the corruption that can come in free enterprise where hard work is not rewarded, and the connected, incestuous, privileged class lounge their way to wealth while treating their employees and customers like some kind of filth their shoe picked up on the street.","Work environment is one of the worst I've experienced. My experience may be a bit biased due to the boss I have, but from everything I've heard from friends in the same career, it's more common than not to have the same experience. The disconnect between management and operations is astronomical. Each person is truly treated like a number and the sole objective of everyone above you is to get to the next level, and not create a happy work environment. You will be thrown under the bus if it saves another person's career, without hesitation. 
Along with this is the category of pay. Since Amazon is such a large company, a large portion of your pay is composed of stocks. I was promised, in my hiring contract, that I would start earning my portion of stocks on my one-year anniversary. Little did I know, in reality it takes 2 years for you to start earning this portion of your salary.
Finally, they prevent the people who deserve it most from being promoted. This sentence does not apply to me, but the people I work with. Some of my coworkers have been with the company for over 4 or 5 years and management refuses to promote them due to a ""language disconnect"". Funny enough, everyone but management and operations leaders seem to understand them just fine with no problems. 
The company is composed of lies and disconnections in all levels of work.",0.6326
8,"Beware of bad managers and horrible team mates. They are not specific to Amazon but they do exist in Amazon.

I have to admit that Monday is usually a blue day at Amazon and it is very tough to look forward to getting into office. I don't know anyone in Amazon who looks forward to getting in on Mondays.

Be realistic about SDE requirements. Coding skills are good to have but they are not the most important part of your job. I think we are hearing the same thing from every company.

Medical coverage is average or below average. Expect to pay about $60 per month for singles and about $240 per month for families. $240 per month for families gives you $3000 in medical fees before you have to pay (more) anything out-of-pocket.

SDE advancement is unreal difficult. They have about 6 levels total, SDE 1-4, then Senior Principal Engineer, and finally Distinguished Engineer. The number of SDE 1s and 2s are huge. Trying to get to SDE 3 seems to be all-of-a-sudden extremely difficult, but not impossible. So this essentially means that if you come to Amazon as a fresh grad SDE, expect to get about only one or two promotions in your entire career, which obviously is quite a lame expectation and reality. You will probably do much better in your career advancement anywhere else.

Employee retention is horrible. I am not sure why the philosophy seems to be trying to undercut existing employees and then hire from external sources. Management all say that they are trying to retain people, but actions don't seem to suggest anything better. Rumour has it that annual pay raises are horrible. This basically mean that either you are a superstar in the company before they will try to retain you, or if you are smart you should not stay in Amazon for too long.","Every single company you go to is going to have cons. There will ALWAYS be days you run to job search websites and apply to new jobs like crazy. In my own experience, Amazon's pros far outweigh the cons. I've had a lot more great days than bad ones. In all honesty... my biggest con was from being an HR rep for a site. No matter how hard you tried to make everyone happy there were still a small number of associates that were always incredibly unhappy or ungrateful for the effort we put in to make their work life enjoyable or at least tolerable. My only other con I can think of is some of my promotions took much longer than they should have BUT I'm cognizant of several of my own factors that slowed the process. At first I had my own growth I needed to work on. Also, at Amazon you move a lot faster not only with a degree but most importantly if you are willing to relocate. That's for the simple fact that your odds are greater when you are open to more locations. Whereas staying to one site you are limited to what they have available.",0.6472
9,"After 3 years of working with the company you ""cap out"" at $15.75, meaning you can no longer make any more money than that as a tier 1 associate. Your expected to want to move up in the company and that is the only way to make a better hourly wage, by advancing into management and operations management positions if there are any openings.","You do not matter. You are 100% replaceable. How well you do your job will not help you advance as an associate, favoritism is rampant. The management does not know what they are doing as most are hired right out of college and a trained by managers with about 3 weeks experience with the company, the associate who have 2+ years of experience are used to maintain numbers and most the work load is in turned dumped onto them( L1’s are expected to pick/stow/pack at a faster rate then the ones with less experience but the new associates are not expected to ever reach the same rate. ) Process assistants regularly do the jobs of area managers as the AM’s regularly dump most of their work onto PA’s so they can continue gossiping with each other in conference rooms while claiming to be discussing business metrics however never discussing anything remotely related to work for hours on end. HR is not there to help you when you need help they are there to make sure management level personnel doesn’t get the company sued so you will be let go without hesitation if there is a issue with management. The only way you will move up in this company is by kissing butt your performance has as much influence as your ability to walk.",0.5844
